"id","benefits","category","company_logo","contact_info","current_applicants","deadline","description","is_urgent","max_applicants","merchant_desc","merchant_id","merchant_name","publish_time","publisher_id","requirements","salary","status","tags","title","work_location","work_time"
"32",,"campus","","电话微信同号15271863394","0",,"","0","2",,,"益禾堂","10/9/2025 20:32:16.571686",,,"面议","1",,"益禾堂，本店招男女送餐兼职各一名","益禾堂店内","面议"
"33",,"campus","","微信 电话 ： 13476844599","0",,"","0","2",,,"中国汉堡","10/9/2025 20:33:01.125945",,,"月工资300元，包中午晚上2顿工作餐","1",,"中国汉堡 招女生兼职2名","中国汉堡店内","面议"
"34",,"campus","","","0",,"","0","2",,,"张大厨","10/9/2025 20:33:51.565821",,,"月工资300元，包中午晚上2顿工作餐","1",,"张大厨 招女生兼职2名","张大厨店内（西北门）","面议"
"35",,"campus","","电话微信同号13234666875","0",,"","0","5",,,"鱼众不同酸菜鱼","10/9/2025 20:34:17.406731",,,"面议","1",,"鱼众不同酸菜鱼，本店招男女送餐兼职","鱼众不同酸菜鱼店内","面议"
"36",,"campus","","微信同号：15827247926","0",,"","0","5",,,"刘哈哈下饭火锅菜•现炒盖码饭","10/9/2025 20:34:41.599356",,,"面议","1",,"刘哈哈下饭火锅菜•现炒盖码饭，招聘男生女生兼职","刘哈哈下饭火锅菜•现炒盖码饭店内","面议"
"37",,"campus","","电话13387587068","0",,"","0","3",,,"吾饮良品","10/9/2025 20:35:11.981022",,,"面议","1",,"吾饮良品湖北大学店招兼职男生1名 女生2名","吾饮良品店内","面议"
"38",,"campus","","18571699060微信同号","0",,"","0","5",,,"东北老式米线","10/9/2025 20:56:30.175584",,,"面议","1",,"东北老式米线招女生兼职","东北老式米线店内","面议"
"39",,"campus","","15527296320微信同号","0",,"","0","5",,,"喜欢李甜品轻食店","10/9/2025 20:58:17.394013",,,"面议 包2餐","1",,"喜欢李甜品轻食店招男女生兼职","喜欢李甜品轻食店内","面议"
"40",,"campus","","13377858786微信同号","0",,"","0","5",,,"永香兴五味烧汁饭","10/9/2025 21:00:35.460544",,,"面议","1",,"永香兴五味烧汁饭招聘男女兼职","永香兴五味烧汁饭店内","面议"
"41",,"campus","","15159159712微信同号","0",,"","0","5",,,"百瑞景门口沙县小吃","10/9/2025 21:02:11.105415",,,"面议 包中晚饭","1",,"百瑞景门口沙县小吃招男女兼职","百瑞景门口沙县小吃店内","面议"
